name,district,sale_price,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year,bedrooms,bathrooms,internal_area,floors,towers,year_built,has_elevator,has_parking,has_security,has_cctv,has_pool,has_sauna,has_gym,has_garden_bbq,has_playground,has_shop_on_premise,has_restaurant_on_premise,has_wifi,city_train_distance,express_way_distance,close_city_train,close_express_way
Niche Pride Taopoon - Interchange,Bang Sue,3995402,120739,0,-17.04,4.82,-2.22,1,1,31,38,1,2020,1,1,1,1,1,0,1,1,1,0,0,0,900,2300,1,0
Niche Pride Taopoon - Interchange,Bang Sue,3860293,120739,0,-17.04,4.82,-2.22,1,1,31,38,1,2020,1,1,1,1,1,0,1,1,1,0,0,0,900,2300,1,0
Niche Pride Taopoon - Interchange,Bang Sue,3987280,120739,0,-17.04,4.82,-2.22,1,1,31,38,1,2020,1,1,1,1,1,0,1,1,1,0,0,0,900,2300,1,0
Niche Pride Taopoon - Interchange,Bang Sue,4097342,120739,0,-17.04,4.82,-2.22,1,1,31,38,1,2020,1,1,1,1,1,0,1,1,1,0,0,0,900,2300,1,0
Niche Pride Taopoon - Interchange,Bang Sue,4178178,120739,0,-17.04,4.82,-2.22,1,1,31,38,1,2020,1,1,1,1,1,0,1,1,1,0,0,0,900,2300,1,0
Niche Pride Taopoon - Interchange,Bang Sue,3962857,120739,0,-17.04,4.82,-2.22,1,1,31,38,1,2020,1,1,1,1,1,0,1,1,1,0,0,0,900,2300,1,0
Niche Pride Taopoon - Interchange,Bang Sue,3532622,120739,0,-17.04,4.82,-2.22,1,1,31,38,1,2020,1,1,1,1,1,0,1,1,1,0,0,0,900,2300,1,0
Niche Pride Taopoon - Interchange,Bang Sue,4097307,120739,0,-17.04,4.82,-2.22,1,1,31,38,1,2020,1,1,1,1,1,0,1,1,1,0,0,0,900,2300,1,0
Niche Pride Taopoon - Interchange,Bang Sue,4031730,120739,0,-17.04,4.82,-2.22,1,1,31,38,1,2020,1,1,1,1,1,0,1,1,1,0,0,0,900,2300,1,0
Niche Pride Taopoon - Interchange,Bang Sue,3980842,120739,0,-17.04,4.82,-2.22,1,1,31,38,1,2020,1,1,1,1,1,0,1,1,1,0,0,0,900,2300,1,0
Niche Pride Taopoon - Interchange,Bang Sue,3981317,120739,0,-17.04,4.82,-2.22,1,1,31,38,1,2020,1,1,1,1,1,0,1,1,1,0,0,0,900,2300,1,0
Niche Pride Taopoon - Interchange,Bang Sue,4178941,120739,0,-17.04,4.82,-2.22,1,1,31,38,1,2020,1,1,1,1,1,0,1,1,1,0,0,0,900,2300,1,0
Niche Pride Taopoon - Interchange,Bang Sue,4213186,120739,0,-17.04,4.82,-2.22,1,1,31,38,1,2020,1,1,1,1,1,0,1,1,1,0,0,0,900,2300,1,0
Richpark @ Bangson Station,Bang Sue,1800000,66394,0,3.41,4.81,5.56,1,1,29,27,1,2014,1,1,1,1,1,0,1,1,0,1,0,0,4400,2000,0,0
The Tree Interchange,Bang Sue,2790000,87522,0,3.66,4.2,-10.79,1,1,36,40,2,2015,1,1,1,1,1,0,1,1,0,0,0,1,1700,3400,0,0
Richpark @ Bangson Station,Bang Sue,1750000,66394,0,3.41,4.81,5.56,1,1,29,27,1,2014,1,1,1,1,1,0,1,1,0,1,0,0,4400,2000,0,0
U Delight 2 @ Bang Sue Station,Bang Sue,1780000,68519,-21.23,3.91,4.54,-13.09,1,1,28,30,1,2012,1,1,1,1,1,1,1,1,0,0,0,0,2400,1700,0,0
Fresh Condominium,Bang Sue,1590000,,,,,,1,1,28,8,5,2014,1,1,1,1,1,0,1,1,0,0,0,0,2300,3500,0,0
