id,name,district,lat,long,sale_price,bedrooms,bathrooms,internal_area,floors,towers,year_built,has_elevator,has_parking,has_security,has_cctv,has_pool,has_sauna,has_gym,has_garden_bbq,has_playground,has_shop_on_premise,has_restaurant_on_premise,has_wifi,clinic_200m,convenience_store_200m,school_200m,university_200m,gov_service_200m,Hospital_200m,mall_200m,night_club_200m,public_park_200m,restaurant_200m,supermarket_200m,Airport_200m,E_railway_200m,railway_200m,clinic_500m,convenience_store_500m,school_500m,university_500m,gov_service_500m,Hospital_500m,mall_500m,night_club_500m,public_park_500m,restaurant_500m,supermarket_500m,Airport_500m,E_railway_500m,railway_500m,clinic_1000m,convenience_store_1000m,school_1000m,university_1000m,gov_service_1000m,Hospital_1000m,mall_1000m,night_club_1000m,public_park_1000m,restaurant_1000m,supermarket_1000m,Airport_1000m,E_railway_1000m,railway_1000m
428,I CONDO Sukhumvit 105,Bang Na,13.6595056,100.6310112,2700000,2,2,47.7,8,6,2013,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,5,0,0,0,0
428,I CONDO Sukhumvit 105,Bang Na,13.6595056,100.6310112,1820000,1,1,32,8,6,2013,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,5,0,0,0,0
428,I CONDO Sukhumvit 105,Bang Na,13.6595056,100.6310112,2140000,1,1,32,8,6,2013,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,5,0,0,0,0
428,I CONDO Sukhumvit 105,Bang Na,13.6595056,100.6310112,1400000,1,1,30,8,6,2013,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,5,0,0,0,0
428,I CONDO Sukhumvit 105,Bang Na,13.6595056,100.6310112,1400000,1,1,31,8,6,2013,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,5,0,0,0,0
428,I CONDO Sukhumvit 105,Bang Na,13.6595056,100.6310112,1390000,1,1,32,8,6,2013,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,5,0,0,0,0
1478,Villa Lasalle,Bang Na,13.6601525,100.6112504,2200000,1,1,32,8,2,2016,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1478,Villa Lasalle,Bang Na,13.6601525,100.6112504,2440000,1,1,36,8,2,2016,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1478,Villa Lasalle,Bang Na,13.6601525,100.6112504,1590000,1,1,24.4,8,2,2016,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1478,Villa Lasalle,Bang Na,13.6601525,100.6112504,2700000,1,1,32,8,2,2016,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1478,Villa Lasalle,Bang Na,13.6601525,100.6112504,1650000,1,1,26.2,8,2,2016,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1478,Villa Lasalle,Bang Na,13.6601525,100.6112504,3200000,2,1,35.1,8,2,2016,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1478,Villa Lasalle,Bang Na,13.6601525,100.6112504,2500000,1,1,32.5,8,2,2016,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,Smart Condo Rama 2,Bang Khun Thian,13.66036715,100.4273489,1350000,1,1,28.5,8,8,2009,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,1,0,2,0,0,0,0,1,5,4,0,1,1,0,0,0,6,0,0,0,0
