id,Name,lat,long
294,Condolette Pixel Sathorn,13.7182768,100.5492522
295,CONNER Ratchathewi,13.7539998,100.5290959
296,Cooper Siam,13.7460599,100.5223991
297,Country Complex,13.6738155,100.5997125
298,Crystal Garden,13.7351017,100.5534633
299,CU Terrace,13.7406289,100.5253776
300,D 25 Thonglor,13.7391018,100.5827252
301,D 65,13.7217594,100.5885704
302,D Condo Charan - Bangkhunnon,13.770472,100.469651
303,D Condo Onnut - Suvarnabhumi,13.72121,100.7211156
304,D Condo Ramindra,13.8535638,100.6361326
305,D Condo Ramkhamhaeng,13.7648128,100.6536771
306,D Condo Ramkhamhaeng 64,13.7648128,100.6536771
307,D Condo Ratchada 19,13.79991,100.5735675
308,D' Mura Ratchayothin,13.837108,100.5835053
309,D.S. Tower 1 Sukhumvit 33,13.7373488,100.5686529
310,D.S. Tower 2 Sukhumvit 39,13.7405995,100.5708083
311,Dalin Place,13.8892687,100.601131
312,dBURA Pran Nok,13.7568529,100.477617
313,Dcondo Campus Resort Ratchapruek - Charan 13,13.7391584,100.4479944
314,DCondo Onnut Rama 9,13.7303733,100.6997389
315,Dcondo Tann Charan,13.7717325,100.4594002
316,De Lapis Charan 81,13.7920492,100.5036955
317,DEN Vibhavadi,13.8907905,100.5862783
318,Denim Jatujak,13.7974943,100.557043
319,Deves Mansion,13.7667514,100.5040333
320,Dhennakorn Residence,13.7054681,100.3905495
321,Diamond Ratchada,13.7746668,100.5739626
322,Diamond Ratchada Cool House,13.7754726,100.5745254
323,Diamond Sukhumvit,13.7082704,100.5995125
324,Diamond Tower,13.7248823,100.529356
325,DLV Thonglor 20,13.7387665,100.5870911
326,D'Memoria,13.7783022,100.5484479
327,Dolce Lasalle,13.664737,100.6067904
328,Dolce Udomsuk,13.6760319,100.61231
329,Domus,13.73330095,100.5618799
330,Double U,13.8183257,100.5916823
331,Downtown Forty Nine,13.740178,100.5780646
332,Dynasty Complex,13.7920205,100.6082499
333,Ease Rama 2,13.6701924,100.4368478
334,Eastwood Park,13.7068716,100.6234249
335,Edge Sukhumvit 23,13.73658459,100.5633504
336,Eight Thonglor Residence,13.7304859,100.5819396
337,Elements Srinakarin,13.6962337,100.6453272
338,Elephant Tower,13.8254276,100.5684534
339,Elio Del Nest Udomsuk,13.6787801,100.6160598
340,Elio Del Moss Phaholyothin 34,13.8389547,100.5825219
341,Elio Del Ray,13.6847162,100.604285
342,Elio Sathorn - Wutthakat,13.7154113,100.4648064
343,Emerald Residence Ratchada,13.775027,100.5716026
344,Empire House,13.7295926,100.5911114
345,Episode Phahol - Sapanmai,13.8901022,100.6072222
346,Equinox,13.8091851,100.5590117
347,Esta Bliss,13.8121648,100.7150677
348,Esta Phahol - Sapanmai,13.88951867,100.6066077
349,Evergreen View Tower,13.6623817,100.650054
350,Executive Bangna,13.6762088,100.6432642
351,Fair Tower,13.70549009,100.5969618
352,Fairview Tower,13.7319285,100.5626128
353,Fak Khao Pode,13.7572581,100.6388838
354,Family Park,13.7941723,100.5885081
355,Family Town,13.7917227,100.5592344
356,Feel Condo Pinklao - Charan 59,13.7824559,100.4875888
357,Felic Ladprao - Wanghin 79,13.8235215,100.5880361
358,Ficus Lane,13.713931,100.5894229
359,Fifty Fifth Tower,13.7258487,100.5802906
360,Flawless Sathorn Residence,13.7177573,100.524477
361,Flora Condo Ville,13.8691405,100.5564326
362,Focus Condominium,13.8198176,100.5957805
363,Focus on Saladaeng,13.7267494,100.5371754
364,Focus Ploenchit,13.7396923,100.5517141
365,Formosa Ladprao 7,13.8103711,100.5674706
366,Fortune Condo Town,13.700724,100.5361317
367,Four Seasons Private Residences,13.7120933,100.5109961
368,Four Street Mansion,13.8200353,100.5688222
369,Four Wings Residence,13.7542622,100.6473491
370,Fragrant 71,13.7197761,100.5978403
371,Free Island Ladprao 93,13.7806502,100.6226582
372,Fresh Condominium,13.8126836,100.5252523
373,Fuse Chan - Sathorn,13.7061192,100.5305541
374,Fuse Miti sutthisan - ratchada,13.7892472,100.5640014
375,Fuse Mobius Ramkhamhaeng Station,13.7456482,100.6019394
376,Fuse Sathorn - Taksin,13.7204667,100.4969842
377,Fuse Sense' Bangkae,13.7106888,100.3963748
378,FYNN Aree,13.7778609,100.5402359
379,FYNN Asoke,13.7355892,100.5569706
380,FYNN Sukhumvit 31,13.7415723,100.5669196
381,G Style Condominium,13.7766346,100.581666
382,Garden Asoke - Rama 9,13.7504675,100.5747844
383,Garden Court,13.6745656,100.5125239
384,Grand Condominium Wutthakat 57,13.7006216,100.4680173
385,Grand Diamond Pratunam,13.74993738,100.5384084
386,Grand Langsuan,13.7395551,100.5427197
387,Grand Palace,13.7667154,100.6237819
388,Grand Park Town,13.7724631,100.5961686
389,Grand Park View Asoke,13.7435033,100.5620558
390,Grand Ville House 1,13.7275149,100.5682857
391,Grand Ville House 2,13.7402122,100.5590881
392,Green Peace Mansion,13.7926084,100.5396457
393,Green Point Silom,13.7282565,100.5291755
394,Green Ville Condo @ Sukhumvit 101,13.6908863,100.6144917
395,GROOVE VIBES LADPRAO 18,13.8027507,100.5699937
396,H Sukhumvit 43,13.732918,100.5740218
397,H2 Condominium,13.86454775,100.6170813
398,Hallmark Ladprao-Chokchai 4,13.7957022,100.6000114
399,Hampton Place,13.7643385,100.6275845
400,Hampton Thonglor 10,13.7322319,100.5836252
401,Hansar Rajdamri,13.73988488,100.5406032
402,Happy Condo Ladprao 101,13.7880878,100.6274462
403,Happy Condo Laksi - Donmuang,13.92636931,100.5837859
404,Happy Condo Ratchada 18,13.7837733,100.5860829
405,Harmony Living Sukhumvit 15,13.7461666,100.5589135
406,Hasu Haus,13.7142404,100.6022808
407,Haus 23 Ratchada - Ladprao,13.8051257,100.5759341
408,Haven Luxe,13.7880754,100.5535852
409,Heritage Condominium,13.7386868,100.5558062
410,HI Ladprao 130,13.7666574,100.6327333
411,Hive Sathorn,13.7216207,100.5027983
412,Hive Sukhumvit 65,13.7204786,100.5881175
413,Hive Taksin,13.7218707,100.4965179
414,Hope and Guy Condo Town,13.8167803,100.567734
415,HQ by Sansiri,13.7297644,100.5814008
416,Hua Mark Condominium,13.7612941,100.6227877
417,HUE Sukhumvit,13.6890689,100.6086332
418,Humble Living @ Suppalerk,13.7913166,100.5814952
419,Hyde Heritage Thonglor,13.7223588,100.5818933
420,Hyde Sukhumvit 11,13.7436341,100.5564595
421,Hyde Sukhumvit 13,13.7404403,100.5572732
422,I - House Laguna Garden,13.75002865,100.5786896
423,I - Zen Ekamai - Ramindra,13.812944,100.6103948
424,I CONDO Kaset,13.8410359,100.5892495
425,I CONDO Petchkasem 39,13.7096052,100.4296315
426,I CONDO Sukhapiban 2,13.782413,100.671742
427,I CONDO Sukhumvit 103,13.6756714,100.6379626
428,I CONDO Sukhumvit 105,13.6595056,100.6310112
429,i-biza residence,13.752027,100.5794917
430,Icon II,13.7379191,100.5838174
431,Icon III,13.7369988,100.5846197
432,iCondo Green Space Sukhumvit 77,13.7219316,100.726456
