name,lat,lng
โรงเรียนวัดใต้ (ราษฎรนิรมิต),13.71310448,100.6038411
โรงเรียนนาคนาวาอุปถัมภ์,13.73074201,100.6131886
โรงเรียนวัดปากบ่อ,13.71376095,100.6306018
โรงเรียนสุเหร่าใหม่,13.71633403,100.6392549
โรงเรียนหัวหมาก,13.7376465,100.6435175
โรงเรียนคลองกลันตัน (มีสุวรรณอนุสรณ์),13.73318354,100.6404629
โรงเรียนวัดทองใน,13.71203366,100.622491
โรงเรียนสามเสนนอก(ประชาราษฎร์อนุกูล),13.77785524,100.5695369
โรงเรียนวิชูทิศ,13.76808629,100.5563491
โรงเรียนวิชากร,13.76796688,100.5552201
โรงเรียนวัดหลักสี่ (ทองใบทิวารีวิทยา),13.88923271,100.5824971
โรงเรียนทุ่งสองห้อง (คุปตัษเฐียรอุทิศ),13.88534329,100.5604223
โรงเรียนเคหะทุ่งสองห้องวิทยา 1,13.90099683,100.5832155
โรงเรียนเคหะทุ่งสองห้องวิทยา 2,13.90228317,100.5785977
โรงเรียนการเคหะท่าทราย,13.87341188,100.5532925
โรงเรียนบางเขน (ไว้สาลีอนุสรณ์),13.86082258,100.5671229
โรงเรียนสายไหม (ทัสนารมย์อนุสรณ์),13.92953893,100.6597177
โรงเรียนวัดเกาะสุวรรณาราม,13.90812905,100.6338694
โรงเรียนออเงิน,13.90394184,100.6649572
โรงเรียนวัดหนองใหญ่,13.91841851,100.6864728
โรงเรียนฤทธิยะวรรณาลัย,13.91371072,100.6250439
โรงเรียนประชานุกูล (ขำสนิทอนุเคราะห์),13.91897034,100.6359998
โรงเรียนพรพระร่วงประสิทธิ์,13.88507911,100.6621578
โรงเรียนวัดราษฎร์นิยมธรรม (พิบูลสงคราม),13.88593487,100.6249704
โรงเรียนซอยแอนเนกซ์ (กาญจนาภิเษก 2),13.93542022,100.63879
โรงเรียนสุเหร่าทับช้างคลองบน,13.74364763,100.6996293
โรงเรียนวัดลาดบัวขาว,13.75834775,100.6965268
โรงเรียนสมโภชกรุงอนุสรณ์ (200 ปี),13.74030865,100.6922823
โรงเรียนสุเหร่าซีรอ (ราษฎร์สามัคคี),13.76915144,100.6948477
โรงเรียนสุเหร่าลาดบัวขาว,13.76987212,100.7134769
โรงเรียนสามแยกคลองหลอแหล,13.78034841,100.70167
โรงเรียนจินดาบำรุง,13.84852583,100.6596035
โรงเรียนคันนายาว (ธารินเจริญสงเคราะห์),13.79322139,100.6948363
โรงเรียนสุเหร่าลาดพร้าว,13.77157772,100.5941312
โรงเรียนสุเหร่าดอนสะแก,13.78076752,100.6126065
โรงเรียนวัดสามัคคีธรรม,13.78418555,100.5999507
โรงเรียนกลางคลองสอง (พร ดีเจริญ),13.86200215,100.6991733
โรงเรียนบางชัน (ปลื้มวิทยานุสรณ์),13.81788594,100.6977153
โรงเรียนบ้านแบนชะโด,13.8764865,100.7835397
โรงเรียนบ้านหนองระแหง (ชมแสงประชานุกูล),13.90130649,100.690679
โรงเรียนประชาราษฎร์อุปถัมภ์วิทยา,13.84406644,100.6957221
โรงเรียนวัดคู้บอน (วัฒนานันท์อุทิศ),13.85421797,100.6732148
โรงเรียนวัดบัวแก้ว,13.85082191,100.7313667
โรงเรียนวัดแป้นทอง (สามวาวิทยา),13.88564434,100.708625
โรงเรียนวัดพระยาสุเรนทร์ (บุญมีอนุกูล),13.87390429,100.6863542
โรงเรียนวัดลำกระดาน,13.91748602,100.75331
