name,district,lat,long,sale_price,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year,bedrooms,bathrooms,internal_area,floors,towers,year_built,has_elevator,has_parking,has_security,has_cctv,has_pool,has_sauna,has_gym,has_garden_bbq,has_playground,has_shop_on_premise,has_restaurant_on_premise,has_wifi,city_train_distance,express_way_distance,close_city_train,close_express_way
Smart Condo Rama 2,Bang Khun Thian,13.66036715,100.4273489,895000.0,36185.0,0.0,16.0,6.8,12.6,1.0,1.0,29.0,8.0,8.0,2009.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9100.0,3200.0,0.0,0.0
Smart Condo Rama 2,Bang Khun Thian,13.66036715,100.4273489,1140000.0,36185.0,0.0,16.0,6.8,12.6,1.0,1.0,29.0,8.0,8.0,2009.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9100.0,3200.0,0.0,0.0
Smart Condo Rama 2,Bang Khun Thian,13.66036715,100.4273489,875000.0,36185.0,0.0,16.0,6.8,12.6,1.0,1.0,29.0,8.0,8.0,2009.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9100.0,3200.0,0.0,0.0
Smart Condo Rama 2,Bang Khun Thian,13.66036715,100.4273489,839000.0,36185.0,0.0,16.0,6.8,12.6,1.0,1.0,25.0,8.0,8.0,2009.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9100.0,3200.0,0.0,0.0
Smart Condo Rama 2,Bang Khun Thian,13.66036715,100.4273489,900000.0,36185.0,0.0,16.0,6.8,12.6,1.0,1.0,29.0,8.0,8.0,2009.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9100.0,3200.0,0.0,0.0
Smart Condo Rama 2,Bang Khun Thian,13.66036715,100.4273489,819900.0,36185.0,0.0,16.0,6.8,12.6,1.0,1.0,24.0,8.0,8.0,2009.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9100.0,3200.0,0.0,0.0
Smart Condo Rama 2,Bang Khun Thian,13.66036715,100.4273489,970000.0,36185.0,0.0,16.0,6.8,12.6,2.0,1.0,29.0,8.0,8.0,2009.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9100.0,3200.0,0.0,0.0
Smart Condo Rama 2,Bang Khun Thian,13.66036715,100.4273489,941000.0,36185.0,0.0,16.0,6.8,12.6,2.0,1.0,29.0,8.0,8.0,2009.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9100.0,3200.0,0.0,0.0
Smart Condo Rama 2,Bang Khun Thian,13.66036715,100.4273489,970000.0,36185.0,0.0,16.0,6.8,12.6,2.0,1.0,29.0,8.0,8.0,2009.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9100.0,3200.0,0.0,0.0
Smart Condo Rama 2,Bang Khun Thian,13.66036715,100.4273489,999000.0,36185.0,0.0,16.0,6.8,12.6,1.0,1.0,28.0,8.0,8.0,2009.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9100.0,3200.0,0.0,0.0
