"name","district","sale_price","asking_price","asking_price_change_quater","asking_price_change_year","gross_rental_yield","rental_price_change_year","bedrooms","bathrooms","internal_area","floors","towers","year_built","has_elevator","has_parking","has_security","has_cctv","has_pool","has_sauna","has_gym","has_garden_bbq","has_playground","has_shop_on_premise","has_restaurant_on_premise","has_wifi","city_train_distance","express_way_distance","close_city_train","close_express_way"
"The Wellington","Bang Kapi",3900000.0,48001.0,0.0,-3.98,5.92,1.72,2.0,2.0,76.75,7.0,1.0,2009.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9300.0,4600.0,0.0,0.0
"D Condo Ramkhamhaeng","Bang Kapi",2200000.0,65121.0,0.0,-15.59,4.92,-1.48,1.0,1.0,29.5,8.0,5.0,2012.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4900.0,1200.0,0.0,0.0
"Inspire Place ABAC - Rama IX","Bang Kapi",4065176.0,44759.0,0.0,-8.25,6.11,-5.79,2.0,2.0,88.0,19.0,2.0,2006.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7400.0,2700.0,0.0,0.0
"IDEO New Rama 9","Bang Kapi",3900000.0,98798.0,-18.09,-19.2,3.91,-29.07,1.0,1.0,31.0,24.0,1.0,2020.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4800.0,1100.0,0.0,0.0
"Urbana Sukhumvit 15","Bang Kapi",1.2E7,107143.0,0.0,8.65,3.96,7.6,2.0,3.0,110.0,8.0,1.0,2004.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10000.0,6700.0,0.0,0.0
"D Condo Ramkhamhaeng","Bang Kapi",2300000.0,65121.0,0.0,-15.59,4.92,-1.48,1.0,1.0,28.5,8.0,5.0,2012.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4900.0,1200.0,0.0,0.0
"Urbana Sukhumvit 15","Bang Kapi",1.6E7,107143.0,0.0,8.65,3.96,7.6,3.0,3.0,140.0,8.0,1.0,2004.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10000.0,6700.0,0.0,0.0
"Four Wings Residence","Bang Kapi",8200000.0,67516.0,0.0,-0.54,5.76,7.28,2.0,3.0,98.0,26.0,1.0,2008.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9500.0,4800.0,0.0,0.0
"D Condo Ramkhamhaeng","Bang Kapi",2400000.0,65121.0,0.0,-15.59,4.92,-1.48,1.0,1.0,28.5,8.0,5.0,2012.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4900.0,1200.0,0.0,0.0
"Urbana Sukhumvit 15","Bang Kapi",1.2E7,107143.0,0.0,8.65,3.96,7.6,2.0,2.0,102.0,8.0,1.0,2004.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10000.0,6700.0,0.0,0.0
"Urbana Sukhumvit 15","Bang Kapi",1.2E7,107143.0,0.0,8.65,3.96,7.6,2.0,2.0,109.0,8.0,1.0,2004.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10000.0,6700.0,0.0,0.0
"Four Wings Residence","Bang Kapi",9000000.0,67516.0,0.0,-0.54,5.76,7.28,3.0,3.0,115.0,26.0,1.0,2008.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9500.0,4800.0,0.0,0.0
"Four Wings Residence","Bang Kapi",6500000.0,67516.0,0.0,-0.54,5.76,7.28,2.0,3.0,86.0,26.0,1.0,2008.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9500.0,4800.0,0.0,0.0
"Urbana Sukhumvit 15","Bang Kapi",1.1E7,107143.0,0.0,8.65,3.96,7.6,2.0,2.0,110.0,8.0,1.0,2004.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10000.0,6700.0,0.0,0.0
"Chewathai Ramkamhaeng","Bang Kapi",2550000.0,78334.0,0.0,6.75,5.09,3.11,1.0,1.0,30.01,36.0,1.0,2013.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7700.0,4100.0,0.0,0.0
"Bangkok Horizon Ramkhamhaeng","Bang Kapi",9270000.0,49540.0,0.0,-16.68,8.96,56.12,2.0,2.0,90.0,38.0,1.0,2010.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9400.0,5800.0,0.0,0.0
"IDEO New Rama 9","Bang Kapi",3500000.0,98798.0,-18.09,-19.2,3.91,-29.07,1.0,1.0,37.0,24.0,1.0,2020.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4800.0,1100.0,0.0,0.0
